Run,RunSeed,RunMinDistance_DRAMPPI,RunMinDistance_DRMPPI,RunMinDistance_MPPI,RunMinDistance_RAMPPI,SafetyViolation_DRAMPPI,SafetyViolation_DRMPPI,SafetyViolation_MPPI,SafetyViolation_RAMPPI,Collision_DRAMPPI,Collision_DRMPPI,Collision_MPPI,Collision_RAMPPI,TotalQSigmaInvStageCost_DRAMPPI,TotalQSigmaInvStageCost_DRMPPI,TotalQSigmaInvStageCost_MPPI,TotalQSigmaInvStageCost_RAMPPI,RunMaxComputeTimeMs_DRAMPPI,RunMaxComputeTimeMs_DRMPPI,RunMaxComputeTimeMs_MPPI,RunMaxComputeTimeMs_RAMPPI,AllOthersCollided,DROnlyNoCollision,DRMinDistanceAdvantage
20,1516459118,0.60829097032547,0.6959288716316223,0.24092541635036469,0.5239483118057251,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,26.090435288846493,27.33573061041534,20.569408306851983,30.132591370493174,33.927929998753825,18.91428399903816,13.028190001932671,17.160987001261674,False,False,0.08763790130615234
21,533103612,0.06558621674776077,0.6917094588279724,0.2464406043291092,0.6476688385009766,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,27.655010867863894,27.682628056034446,20.58585811033845,27.745813138782978,48.28910600190284,20.755565998115344,13.176717002352234,16.661661997204646,False,False,0.04404062032699585
22,1964759878,0.17304247617721558,0.6862931847572327,0.23352663218975067,0.5595482587814331,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,27.794453911483288,27.44922094978392,20.468038277700543,25.985307646915317,36.88322599919047,18.832634999853326,11.10264700037078,32.241318996966584,False,False,0.12674492597579956
23,2037706756,0.1652078628540039,0.6308339834213257,0.23192007839679718,0.5255648493766785,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,25.448504369705915,26.9903329256922,20.52413040585816,26.293892722576857,58.51848800011794,18.678337000892498,12.576247001561569,17.52411800043774,False,False,0.10526913404464722
24,1572889065,0.5479171276092529,0.7049253582954407,0.23057760298252106,0.5268987417221069,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,26.340235710144043,26.881228568032384,20.498235488310456,26.603440744802356,36.42819000015152,19.083780000073602,13.72249799896963,17.942960999789648,False,False,0.15700823068618774
25,1432881518,0.6360434889793396,0.69403475522995,0.23459501564502716,0.6737315058708191,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,26.042419865727425,27.624229192733765,20.416157018393278,27.164094652980566,78.91484100036905,19.463710999843897,10.737180997239193,16.08363600098528,False,False,0.02030324935913086
26,280516901,0.15276546776294708,0.5706667900085449,0.2244393676519394,0.6509145498275757,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,26.25382374227047,27.3686097972095,20.510041056200862,26.49124801158905,61.431905000063125,20.529869998426875,12.237408001965377,17.64309499776573,False,False,-0.08024775981903076
27,205939248,0.23917298018932343,0.621898353099823,0.2425677627325058,0.49158623814582825,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,25.7959416359663,27.146895395591855,20.518825544044375,27.90399658679962,38.713224999810336,21.02379699863377,13.089647000015248,18.223465001938166,False,False,0.13031211495399475
28,571904914,0.49786099791526794,0.5850218534469604,0.2255660444498062,0.15611007809638977,0.0,0.0,1.0,1.0,0.0,0.0,1.0,1.0,26.636817157268524,26.979650396853685,20.553364142775536,26.894364224746823,40.21769400060293,19.567966999602504,9.740321002027486,20.320388000982348,False,False,0.0871608555316925
29,948843457,0.12428463995456696,0.682802140712738,0.2310011237859726,0.6369497179985046,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,25.3855874594301,28.90472561866045,20.47250484675169,27.537261797115207,41.39179699996021,19.81048000016017,9.160320998489624,20.308996998210205,False,False,0.0458524227142334
