Algorithm,Run,RunMinDistance,SafetyViolation,Collision,TotalQSigmaInvStageCost,RunMaxComputeTimeMs
RAMPPI,67,0.8079873323440552,0.0,0.0,5.303487440571189,7.361161999142496
RAMPPI,68,0.6910191774368286,0.0,0.0,5.526482620509341,7.109433998266468
RAMPPI,69,0.8519976735115051,0.0,0.0,5.026889254106209,7.06377399910707
RAMPPI,70,0.7379570007324219,0.0,0.0,5.2542607095092535,7.0809950011607725
RAMPPI,71,0.2527126669883728,1.0,1.0,6.6032548426883295,7.559671001217794
RAMPPI,72,0.2577042281627655,1.0,1.0,6.600895210867748,6.852424001408508
RAMPPI,73,0.19064731895923615,1.0,1.0,5.8524336544796824,6.945684002857888
RAMPPI,74,0.8016545176506042,0.0,0.0,5.156387171708047,7.026669998595025
RAMPPI,75,0.8394166827201843,0.0,0.0,4.93183498759754,7.547600998805137
RAMPPI,76,0.8570218086242676,0.0,0.0,5.089293161174282,6.869883996841963
RAMPPI,77,0.6913199424743652,0.0,0.0,5.651337758405134,7.267762000992661
RAMPPI,78,0.988791286945343,0.0,0.0,4.92265969584696,7.663936001335969
RAMPPI,79,0.814723551273346,0.0,0.0,5.0445785890333354,9.116828001424437
RAMPPI,80,0.8388079404830933,0.0,0.0,5.135954555589706,7.380415001534857
RAMPPI,81,0.2036387026309967,1.0,1.0,5.762634517624974,9.74619099724805
RAMPPI,82,0.7780874371528625,0.0,0.0,5.410814848728478,8.31480300257681
RAMPPI,83,0.30207282304763794,1.0,1.0,6.691626645275392,8.455196999420878
RAMPPI,84,0.17602229118347168,1.0,1.0,6.593644868931733,7.97907999731251
RAMPPI,85,0.8140294551849365,0.0,0.0,5.259308769134805,7.792308002535719
RAMPPI,86,0.702323853969574,0.0,0.0,5.559691831935197,7.492697000998305
RAMPPI,87,0.9911019206047058,0.0,0.0,4.921060551190749,8.460963999823434
RAMPPI,88,0.40765395760536194,1.0,1.0,6.004242200637236,8.528674999979557
RAMPPI,89,0.9887101650238037,0.0,0.0,4.736307403771207,8.082989999820711
RAMPPI,90,0.32444876432418823,1.0,1.0,6.388127504964359,8.307747000799282
RAMPPI,91,0.29577645659446716,1.0,1.0,6.608536444953643,7.7800729995942675
RAMPPI,92,0.23357543349266052,1.0,1.0,6.436888720141724,7.742689998849528
RAMPPI,93,0.2605641782283783,1.0,1.0,5.884802407817915,7.496711998101091
RAMPPI,94,0.7577829360961914,0.0,0.0,5.369464740157127,7.419031000608811
RAMPPI,95,0.7235447764396667,0.0,0.0,5.474339078413323,7.513676999224117
RAMPPI,96,0.8233890533447266,0.0,0.0,5.230666854418814,8.118940000713337
RAMPPI,97,0.16206292808055878,1.0,1.0,6.054885957622901,7.04352500179084
RAMPPI,98,0.781014084815979,0.0,0.0,5.4691331833601,6.98935599939432
RAMPPI,99,0.8434522747993469,0.0,0.0,5.029721930390224,7.090825998602668
DRMPPI,0,1.831915259361267,0.0,0.0,4.400140953250229,9.484259000601014
DRMPPI,1,1.8680274486541748,0.0,0.0,4.379966656677425,11.807949002104579
DRMPPI,2,1.8077316284179688,0.0,0.0,4.398518686182797,12.303142000746448
DRMPPI,3,1.8105765581130981,0.0,0.0,4.379288335563615,11.682109998218948
DRMPPI,4,1.8406894207000732,0.0,0.0,4.439703355077654,11.639071999525186
DRMPPI,5,1.864906907081604,0.0,0.0,4.379833540413529,12.86601300307666
DRMPPI,6,1.836552381515503,0.0,0.0,4.359136466868222,12.265638000826584
DRMPPI,7,1.8728492259979248,0.0,0.0,4.426072537200525,11.77726100286236
DRMPPI,8,1.8269295692443848,0.0,0.0,4.493267324054614,11.23167699915939
DRMPPI,9,1.8193005323410034,0.0,0.0,4.412115047220141,11.216410999622894
DRMPPI,10,1.7711617946624756,0.0,0.0,4.3840773538686335,12.267229001736268
DRMPPI,11,1.8386499881744385,0.0,0.0,4.354910825379193,11.68329899883247
DRMPPI,12,1.8331800699234009,0.0,0.0,4.44940939405933,12.154326999734621
DRMPPI,13,1.7429224252700806,0.0,0.0,4.496052676578984,11.233211000217125
DRMPPI,14,1.8001381158828735,0.0,0.0,4.3878889991901815,13.333873001101892
DRMPPI,15,1.829206109046936,0.0,0.0,4.415861466899514,12.115122997784056
DRMPPI,16,1.8133734464645386,0.0,0.0,4.452328574378043,10.150376001547556
DRMPPI,17,1.8795876502990723,0.0,0.0,4.382586440304294,13.375689999520546
DRMPPI,18,1.790121078491211,0.0,0.0,4.370282321237028,10.909859000094002
