epsilon,collision_prob,collision_free_prob,safety_violation_prob,run_min_distance_min,run_min_distance_mean,run_min_distance_std,run_max_compute_time_ms_mean,run_max_compute_time_ms_std
0.295,0.11,0.89,0.11,0.09372535838497885,0.7440596695002629,0.15486352155963065,363.1593850522768,96.21889174409162
0.275,0.1,0.9,0.1,0.22429893710888538,0.7325624822993927,0.1393618433153206,377.9125806677621,88.62866617446183
0.29,0.14,0.86,0.14,0.37273274675925244,0.7362949032299856,0.1349747194376229,377.56724887527525,93.50518959897036
0.3,0.08,0.92,0.08,0.2513400184665578,0.7588712311282272,0.12813583742876028,379.1372377751395,87.9714882812928
0.31,0.08,0.92,0.08,0.4335208759562913,0.7550985246051382,0.1209248249581573,372.6647424628027,92.67492103565216
0.32,0.06,0.94,0.06,0.20227117420446974,0.7536843100736345,0.1650516828690135,378.868256167043,91.9469873226495
0.335,0.17,0.83,0.17,0.2661228010904705,0.7543012533017138,0.1360735333670466,359.03020522440784,98.18234414904612
0.315,0.13,0.87,0.13,0.2591555486521925,0.7527897092375082,0.1379981469024065,395.51080286037177,77.93122409594615
0.34,0.18,0.8200000000000001,0.18,0.21884447349960215,0.7352806518435555,0.160313909150434,382.6778428989928,81.91194020219082
0.33,0.11,0.89,0.11,0.2940709678103945,0.7608126580127349,0.1320445631389288,367.0815019507427,102.2135174368259
0.35,0.27,0.73,0.27,0.18930226229574185,0.7359732720246268,0.1388760564464185,384.54384615062736,87.59681602805715
0.325,0.08,0.92,0.08,0.3752974083912474,0.7718424628679115,0.12144904005037391,385.08788531529717,85.80778724129374
0.36,0.34,0.6599999999999999,0.34,0.412901407569274,0.7277545753084453,0.12050613656663266,373.934889951488,89.94295275354592
0.365,0.42,0.5800000000000001,0.42,0.3386594185349309,0.7226490050202823,0.11664410653637394,373.0399316747207,94.95962595885773
0.37,0.49,0.51,0.49,0.05025716638143371,0.6947223297014468,0.1378010871037686,391.874460647814,73.1656805084541
0.345,0.23,0.77,0.23,0.20539844709366084,0.7414414205392532,0.14006432857906587,397.8023124067113,75.10175737965605
0.305,0.14,0.86,0.14,0.4073696374298397,0.7419408807254416,0.11883319513736362,415.9819796355441,43.46476976945967
0.355,0.3,0.7,0.3,0.3128604087074148,0.7404296057902067,0.1323562190495919,388.61575939459726,88.63177773634679
0.375,0.52,0.48,0.52,0.3733888166997787,0.7097305590461813,0.11344770379098343,364.424895105185,98.30112119392939
0.38,0.6,0.4,0.6,0.533064038785359,0.6996471670281373,0.10673564104068646,387.8542459162418,81.75420212033269
0.385,0.61,0.39,0.61,0.38059992094425565,0.6947903258518344,0.10849663412908844,376.9293763185851,88.65216392476192
0.405,0.67,0.32999999999999996,0.67,0.4447913383881743,0.6765549389633714,0.09906330419603895,393.6087144096382,72.5641887802398
