epsilon,Run,Seed,RunMinDistance,SafetyViolation,Collision,TotalQRCost,RunMaxComputeTimeMs
0.0,62,1403186970,0.03113574907183647,0.0,0.0,7.19639271532651,45.34579208120704
0.0,63,1291971777,-0.09604780375957489,1.0,1.0,7.5302713247947395,46.32450081408024
0.0,64,712292067,0.06528843194246292,0.0,0.0,6.688583677751012,58.39584209024906
0.0,65,2001429764,-0.0870894193649292,1.0,1.0,7.334454760188237,54.08699996769428
0.0,66,1375664061,0.08155694603919983,0.0,0.0,6.598031035042368,46.07779602520168
0.0,67,1556456120,-0.034211911261081696,1.0,1.0,6.923901172704063,46.42601101659238
0.0,68,1576053187,-0.11656694859266281,1.0,1.0,6.826036603888497,46.276248060166836
0.0,69,1848019881,0.07177121937274933,0.0,0.0,6.660308717517182,45.24831706658006
0.0,70,1508652585,-0.30000001192092896,1.0,1.0,8.142086213454604,46.28138802945614
0.0,71,1995737731,-0.037584785372018814,1.0,1.0,6.016926808631979,46.42347595654428
0.0,72,1162788447,0.04491858556866646,0.0,0.0,6.932295886334032,45.625161146745086
0.0,73,1172925522,-0.12583577632904053,1.0,1.0,7.639110952615738,46.28259013406932
0.0,74,539174575,0.08870953321456909,0.0,0.0,6.73607385752257,45.864425832405686
0.0,75,2013637345,-0.08435723185539246,1.0,1.0,6.547761213849299,46.312116086483
0.0,76,1187468716,-0.06921064853668213,1.0,1.0,6.684117861674167,45.890700072050095
0.0,77,1062978506,-0.05146162956953049,1.0,1.0,6.834150814334862,46.415921999141574
0.0,78,679326770,-0.015439862385392189,1.0,1.0,7.0514703538501635,47.22114815376699
0.0,79,587923432,0.011970561929047108,0.0,0.0,7.314618500997312,45.87124288082123
0.0,80,1359889667,-0.09704909473657608,1.0,1.0,7.491696323733777,45.63691606745124
0.0,81,970187386,-0.11790867149829865,1.0,1.0,7.211237628944218,46.4188598562032
0.0,82,1219839873,-0.08114397525787354,1.0,1.0,6.943908056360669,46.723226085305214
0.0,83,1428160212,-0.03624209389090538,1.0,1.0,7.085035958676599,45.404470060020685
0.0,84,1930609499,0.05533270910382271,0.0,0.0,6.677137645310722,51.64671316742897
0.0,85,710582861,0.016207268461585045,0.0,0.0,6.89124474581331,46.03045992553234
0.0,86,1463614337,-0.10231208056211472,1.0,1.0,7.020852888817899,46.70872609131038
0.0,87,1940152705,-0.2904258966445923,1.0,1.0,8.204184260452166,46.29507404752076
0.0,88,985452196,0.006887201685458422,0.0,0.0,7.044413735624403,46.221706084907055
0.0,89,552062587,-0.12345521152019501,1.0,1.0,7.3805100076133385,47.186738811433315
0.0,90,623566272,0.05780242383480072,0.0,0.0,6.699139019823633,47.58510994724929
0.0,91,729775797,-0.0844288021326065,1.0,1.0,7.2042191486107185,47.541128005832434
0.0,92,1352536665,-0.11306159943342209,1.0,1.0,7.609802724444307,47.11090005002916
0.0,93,555883440,-0.01945539377629757,1.0,1.0,6.92652402119711,46.639311127364635
0.0,94,1801800003,-0.04861830547451973,1.0,1.0,6.857125458307564,46.662238193675876
0.0,95,763315502,0.10234376788139343,0.0,0.0,6.689075184054673,46.908603981137276
0.0,96,138897982,-0.1272212713956833,1.0,1.0,7.605303895426914,46.795712085440755
0.0,97,10785379,0.0129605857655406,0.0,0.0,7.011427451390773,47.146332915872335
0.0,98,53923185,-0.10301735252141953,1.0,1.0,7.628997438587248,47.40062286145985
0.0,99,1349917978,-0.11185073852539062,1.0,1.0,7.457475039060228,48.57320408336818
0.001,0,1501552845,0.11027232557535172,0.0,0.0,6.763576675555669,58.57163900509477
0.001,1,488200390,-0.037501052021980286,1.0,1.0,7.176232803380117,48.95248916000128
0.001,2,1693606510,-0.10283399373292923,1.0,1.0,7.665421532001346,48.527069855481386
0.001,3,680233354,0.04672984406352043,0.0,0.0,6.637119405786507,47.75590100325644
0.001,4,438466540,-0.2815626561641693,1.0,1.0,8.075045690406114,47.22212394699454
0.001,5,1712329280,0.062425896525382996,0.0,0.0,7.004272299585864,48.232106026262045
0.001,6,1380152455,-0.03076239861547947,1.0,1.0,6.651063342229463,48.14199707470834
0.001,7,1452245846,-0.09382834285497665,1.0,1.0,7.507702058064751,48.77373296767473
0.001,8,2122694021,0.0789138674736023,0.0,0.0,6.6592211263487116,49.4590369053185
0.001,9,839901363,0.005049293860793114,0.0,0.0,6.742300030309707,50.04771496169269
0.001,10,1802651552,-0.1045500785112381,1.0,1.0,7.664900872739963,49.31412497535348
0.001,11,714712467,-0.10619769990444183,1.0,1.0,7.672093784552999,49.991478910669684
0.001,12,1218704077,-0.02989896759390831,1.0,1.0,7.0936685831984505,49.14516396820545
0.001,13,1284858263,-0.03519386425614357,1.0,1.0,6.328025398193859,48.40844008140266
0.001,14,457721135,-0.1148463562130928,1.0,1.0,7.194030842743814,48.670170828700066
0.001,15,401008609,0.044896528124809265,0.0,0.0,6.8677821442252025,48.88095986098051
0.001,16,492064534,-0.1059349924325943,1.0,1.0,7.106644880375825,49.43270003423095
0.001,17,1444732602,-0.0048560891300439835,1.0,1.0,6.736276444047689,47.192628029733896
0.001,18,1317426686,-0.006847242824733257,1.0,1.0,7.286973013426177,47.897465992718935
0.001,19,2022506251,-0.07128141820430756,1.0,1.0,6.7078368802322075,47.72486421279609
0.001,20,1516459118,0.025472426787018776,0.0,0.0,6.716698472155258,55.95732410438359
0.001,21,533103612,-0.03931991383433342,1.0,1.0,6.947236660635099,46.233823988586664
0.001,22,1964759878,0.010708427056670189,0.0,0.0,6.586542767123319,46.20330408215523
0.001,23,2037706756,-0.04708530381321907,1.0,1.0,6.57577294157818,46.86988890171051
0.001,24,1572889065,-0.08090556412935257,1.0,1.0,7.388518909923732,46.24798707664013
0.001,25,1432881518,-0.052963778376579285,1.0,1.0,7.149128171382472,45.812311116606
0.001,26,280516901,-0.0909467414021492,1.0,1.0,7.753075683489442,46.64348182268441
0.001,27,205939248,-0.13313502073287964,1.0,1.0,7.619311528746039,46.87079484574497
0.001,28,571904914,-0.09646838158369064,1.0,1.0,7.579947486170568,47.941286116838455
0.001,29,948843457,0.015215173363685608,0.0,0.0,7.171358804916963,48.12565399333835
0.001,30,155492488,0.03099636919796467,0.0,0.0,7.035516269970685,47.06521285697818
0.001,31,1903701130,0.08706440776586533,0.0,0.0,6.5237571083707735,48.705840948969126
0.001,32,1017961266,-0.0043464708141982555,1.0,1.0,6.761960362782702,47.72081598639488
0.001,33,1497769985,-0.2670747935771942,1.0,1.0,7.832848072401248,47.713421983644366
0.001,34,456523489,-0.11138563603162766,1.0,1.0,7.443174005835317,47.44314611889422
0.001,35,701095136,0.05799652263522148,0.0,0.0,6.766758395940997,46.1939019151032
0.001,36,249069576,-0.30000001192092896,1.0,1.0,8.117319074925035,46.93161300383508
0.001,37,1576098728,0.1383393555879593,0.0,0.0,6.873061538790353,46.912712045013905
0.001,38,1662748500,-0.10173981636762619,1.0,1.0,7.669422950129956,48.503771191462874
0.001,39,472736216,0.0713033378124237,0.0,0.0,6.831245368346572,46.34054494090378
0.001,40,1535411295,0.0386819988489151,0.0,0.0,6.848424236406572,45.66274699755013
0.001,41,175223003,0.005290523637086153,0.0,0.0,6.840314599801786,45.68025306798518
0.001,42,840936862,-0.039842892438173294,1.0,1.0,7.096569567453116,45.836471021175385
0.001,43,343373188,0.07879475504159927,0.0,0.0,6.677850233158097,46.402920968830585
