Algorithm,Method,SourceFile,Run,Seed,SimSteps,Dt,ObsUpdateSteps,RunMinDistance,SafetyViolation,Collision,FirstCollisionStep,CollisionSteps,RunMaxComputeTimeMs,RunMeanComputeTimeMs,WallTimeS,TotalControlEffort,TotalFullCost,TerminalFullCost,TotalQRStageCost,TotalQSigmaInvStageCost,MovingCollisionRadius,MovingSafeRadius,DroneRadius,DrEpsCvar,CvarAlpha,CvarN,RiskCostA,RiskCostCu,SigmaCp,Nmc,OmegaSoft,OmegaHard
RAMPPI,ramppi,RA_mppi_crazyflie.py,13,415096539,700,0.02,15,0.08366522153561914,0.0,0.0,-1,0,46.1481690290384,41.501936495354,29.41857468499802,61.83010097539121,2014.6128258744573,0.19009496801996473,2014.6128258744573,2014.6128258744573,0.08,0.08,0.04,,0.95,60.0,5000.0,0.0,,,,
DRMPPI,drmppi,DR_mppi_crazyflie.py,13,52416235,700,0.02,15,0.0966288899120282,0.0,0.0,-1,0,46.83633800595999,42.0732965456721,29.817955475009512,63.46942226236027,18017.994838064547,0.9093812939875191,18017.994838064547,18017.994838064547,0.08,0.08,0.04,0.004,0.95,60.0,5000.0,0.0,,,,
DRAMPPI,dramppi,DRA_mppi_crazyflie.py,13,278032723,700,0.02,15,0.0729466070666632,1.0,1.0,216,3,46.59219004679471,42.53622381873096,30.15224381198641,69.07823891585669,6149.067288644185,0.16257745522249728,6149.067288644185,6149.067288644185,0.08,0.08,0.04,,,,,,0.05,60.0,5000.0,1000.0
MPPI,mppi,mppi_crazyflie.py,14,174946158,700,0.02,15,0.012383561038512207,1.0,1.0,33,60,44.49544596718624,38.5265621781582,27.225863892002963,58.13348751423883,5547.418346717943,0.09512790506684457,5547.418346717943,5547.418346717943,0.08,0.08,0.04,,,,,,,,,
RAMPPI,ramppi,RA_mppi_crazyflie.py,14,196848554,700,0.02,15,0.06759989490138105,1.0,1.0,483,4,46.56322003575042,41.87803535439473,29.695427553961053,62.48622383402316,1613.398206093432,0.2137041668500545,1613.398206093432,1613.398206093432,0.08,0.08,0.04,,0.95,60.0,5000.0,0.0,,,,
DRMPPI,drmppi,DR_mppi_crazyflie.py,14,263030910,700,0.02,15,0.09090551485547867,0.0,0.0,-1,0,49.602268962189555,41.96845256066548,29.75078164500883,63.300630922815124,23089.86643826382,0.9661435683050116,23089.86643826382,23089.86643826382,0.08,0.08,0.04,0.004,0.95,60.0,5000.0,0.0,,,,
DRAMPPI,dramppi,DRA_mppi_crazyflie.py,14,1285415020,700,0.02,15,0.08474709965653075,0.0,0.0,-1,0,47.190657001920044,42.564575714558096,30.164692590013146,69.15390061956703,10824.168917555733,0.15022608723453962,10824.168917555733,10824.168917555733,0.08,0.08,0.04,,,,,,0.05,60.0,5000.0,1000.0
MPPI,mppi,mppi_crazyflie.py,15,1733223444,700,0.02,15,0.01478183523348355,1.0,1.0,34,58,42.330335010774434,38.492935759547564,27.19341747398721,58.27538859377083,6008.665047602757,0.08264667709857676,6008.665047602757,6008.665047602757,0.08,0.08,0.04,,,,,,,,,
RAMPPI,ramppi,RA_mppi_crazyflie.py,15,1835544261,700,0.02,15,0.08608390280471342,0.0,0.0,-1,0,45.5095199868083,41.81679533603268,29.642112713947427,62.139475834848355,1894.6906931566414,0.202073627289363,1894.6906931566414,1894.6906931566414,0.08,0.08,0.04,,0.95,60.0,5000.0,0.0,,,,
DRMPPI,drmppi,DR_mppi_crazyflie.py,15,1403186970,700,0.02,15,0.09842479495008924,0.0,0.0,-1,0,47.08919598488137,42.042268177943434,29.801091953995638,62.66832838043038,16048.377260721643,0.7785453837478273,16048.377260721643,16048.377260721643,0.08,0.08,0.04,0.004,0.95,60.0,5000.0,0.0,,,,
DRAMPPI,dramppi,DRA_mppi_crazyflie.py,15,1291971777,700,0.02,15,0.07361626216382308,1.0,1.0,483,3,46.987066976726055,41.25442666866417,29.24725952197332,65.71860834997989,15368.27568300206,0.1457549490394907,15368.27568300206,15368.27568300206,0.08,0.08,0.04,,,,,,0.05,60.0,5000.0,1000.0
MPPI,mppi,mppi_crazyflie.py,16,712292067,700,0.02,15,0.013260876967600454,1.0,1.0,32,59,42.80303302221,37.91568501170592,26.788448753999546,57.71838415530584,5955.690421368976,0.07428760664947298,5955.690421368976,5955.690421368976,0.08,0.08,0.04,,,,,,,,,
RAMPPI,ramppi,RA_mppi_crazyflie.py,16,2001429764,700,0.02,15,0.07363102807537328,1.0,1.0,483,3,45.60785001376644,41.70387340842613,29.560529128997587,61.35594558845923,1673.5097798291729,0.1744971683185257,1673.5097798291729,1673.5097798291729,0.08,0.08,0.04,,0.95,60.0,5000.0,0.0,,,,
DRMPPI,drmppi,DR_mppi_crazyflie.py,16,1375664061,700,0.02,15,0.1006619749195766,0.0,0.0,-1,0,46.82271298952401,42.190041146823205,29.900785520963836,62.805712206036475,16557.05953484755,0.7334826741392628,16557.05953484755,16557.05953484755,0.08,0.08,0.04,0.004,0.95,60.0,5000.0,0.0,,,,
DRAMPPI,dramppi,DRA_mppi_crazyflie.py,16,1556456120,700,0.02,15,0.08875524158204674,0.0,0.0,-1,0,46.95472400635481,42.59020021567786,30.182636748009827,71.4944046048185,10750.94418712707,0.16950534782192989,10750.94418712707,10750.94418712707,0.08,0.08,0.04,,,,,,0.05,60.0,5000.0,1000.0
MPPI,mppi,mppi_crazyflie.py,17,1576053187,700,0.02,15,0.008787420148087317,1.0,1.0,33,61,42.61742997914553,38.595480310863685,27.262732691015117,57.8846363160469,5195.92983127102,0.09525457149355052,5195.92983127102,5195.92983127102,0.08,0.08,0.04,,,,,,,,,
RAMPPI,ramppi,RA_mppi_crazyflie.py,17,1848019881,700,0.02,15,0.07602644280075567,1.0,1.0,216,5,46.015166968572885,41.727291421765194,29.575966858014,62.389161085015616,1134.2068441401932,0.21638450999759773,1134.2068441401932,1134.2068441401932,0.08,0.08,0.04,,0.95,60.0,5000.0,0.0,,,,
DRMPPI,drmppi,DR_mppi_crazyflie.py,17,1508652585,700,0.02,15,0.09095890475048077,0.0,0.0,-1,0,46.61859502084553,42.19194098924553,29.902886037016287,62.595605961813504,18721.584669178807,0.9418546330310215,18721.584669178807,18721.584669178807,0.08,0.08,0.04,0.004,0.95,60.0,5000.0,0.0,,,,
DRAMPPI,dramppi,DRA_mppi_crazyflie.py,17,1995737731,700,0.02,15,0.08447912123654695,0.0,0.0,-1,0,46.890973986592144,42.681833071900265,30.2454658409697,67.37160135216375,12951.771076809951,0.10217017153274764,12951.771076809951,12951.771076809951,0.08,0.08,0.04,,,,,,0.05,60.0,5000.0,1000.0
MPPI,mppi,mppi_crazyflie.py,18,1162788447,700,0.02,15,0.006513113857653998,1.0,1.0,34,57,42.54603601293638,38.604575391260106,27.270327918988187,58.25633368950529,6065.802818668597,0.0801702245261009,6065.802818668597,6065.802818668597,0.08,0.08,0.04,,,,,,,,,
RAMPPI,ramppi,RA_mppi_crazyflie.py,18,1172925522,700,0.02,15,0.082122673266173,0.0,0.0,-1,0,45.99927895469591,41.76188160515657,29.600231520016678,61.295397048475444,1363.2305668570114,0.21737741328051308,1363.2305668570114,1363.2305668570114,0.08,0.08,0.04,,0.95,60.0,5000.0,0.0,,,,
DRMPPI,drmppi,DR_mppi_crazyflie.py,18,539174575,700,0.02,15,0.09767218179716507,0.0,0.0,-1,0,47.0593569916673,40.97585581209777,29.050279990013223,62.45877839274953,16592.09078659475,0.8860801246521974,16592.09078659475,16592.09078659475,0.08,0.08,0.04,0.004,0.95,60.0,5000.0,0.0,,,,
DRAMPPI,dramppi,DRA_mppi_crazyflie.py,18,2013637345,700,0.02,15,0.08413200834886697,0.0,0.0,-1,0,46.8907619942911,42.81834607212139,30.341458958981093,67.55152976961594,29337.11060518297,0.20405827423344233,29337.11060518297,29337.11060518297,0.08,0.08,0.04,,,,,,0.05,60.0,5000.0,1000.0
MPPI,mppi,mppi_crazyflie.py,19,1187468716,700,0.02,15,0.005248545373797547,1.0,1.0,32,61,42.74741996778175,38.60505986858958,27.270870202977676,58.28648280196155,5855.26087160065,0.09762128280769979,5855.26087160065,5855.26087160065,0.08,0.08,0.04,,,,,,,,,
RAMPPI,ramppi,RA_mppi_crazyflie.py,19,1062978506,700,0.02,15,0.08497954098346562,0.0,0.0,-1,0,46.04738799389452,41.79435325121241,29.622942545975093,61.81199394249036,1270.1503809923374,0.18319883186017522,1270.1503809923374,1270.1503809923374,0.08,0.08,0.04,,0.95,60.0,5000.0,0.0,,,,
DRMPPI,drmppi,DR_mppi_crazyflie.py,19,679326770,700,0.02,15,0.09358274255256635,0.0,0.0,-1,0,46.83093505445868,41.97107333748136,29.74746734800283,63.21418627083262,15575.88149644692,0.8246337858969522,15575.88149644692,15575.88149644692,0.08,0.08,0.04,0.004,0.95,60.0,5000.0,0.0,,,,
DRAMPPI,dramppi,DRA_mppi_crazyflie.py,19,587923432,700,0.02,15,0.0870679003058717,0.0,0.0,-1,0,46.982717991340905,42.76329044377365,30.30466520198388,67.48337221178652,13706.10039211069,0.1390943770449439,13706.10039211069,13706.10039211069,0.08,0.08,0.04,,,,,,0.05,60.0,5000.0,1000.0
MPPI,mppi,mppi_crazyflie.py,20,1359889667,700,0.02,15,0.013709473932879804,1.0,1.0,32,60,42.18467202736065,38.481687177554704,27.184779865958262,57.938374787880704,4330.591296698562,0.07944500682030335,4330.591296698562,4330.591296698562,0.08,0.08,0.04,,,,,,,,,
RAMPPI,ramppi,RA_mppi_crazyflie.py,20,970187386,700,0.02,15,0.06547637032795647,1.0,1.0,483,5,47.190392040647566,41.74953268882486,29.592714477039408,61.243505803226256,1216.1113137782265,0.2267917765208527,1216.1113137782265,1216.1113137782265,0.08,0.08,0.04,,0.95,60.0,5000.0,0.0,,,,
