epsilon,Run,Seed,RunMinDistance,SafetyViolation,Collision,RunMaxComputeTimeMs
0.0,75,2013637345,0.0664814623707861,1.0,1.0,157.5827479828149
0.0,76,1187468716,0.06661462877167756,1.0,1.0,243.14677604706958
0.0,77,1062978506,0.07678673503546718,1.0,1.0,239.2403610283509
0.0,78,679326770,0.06898607068997963,1.0,1.0,195.50328503828496
0.0,79,587923432,0.06951741354923249,1.0,1.0,223.87909999815747
0.0,80,1359889667,0.07544454555071213,1.0,1.0,238.3157709846273
0.0,81,970187386,0.06191092687084262,1.0,1.0,225.05601699231192
0.0,82,1219839873,0.07032145891250982,1.0,1.0,157.5618869974278
0.0,83,1428160212,0.06591002686202814,1.0,1.0,236.12066800706089
0.0,84,1930609499,0.07650443471714927,1.0,1.0,243.15317103173584
0.0,85,710582861,0.06985098996820313,1.0,1.0,199.08374000806361
0.0,86,1463614337,0.075426860983274,1.0,1.0,234.2115330393426
0.0,87,1940152705,0.07126412858774427,1.0,1.0,240.60962098883465
0.0,88,985452196,0.06986088107873586,1.0,1.0,228.793062036857
0.0,89,552062587,0.0692631753730272,1.0,1.0,157.76419901521876
0.0,90,623566272,0.06695242327333542,1.0,1.0,211.08668600209057
0.0,91,729775797,0.07126073899497887,1.0,1.0,239.28572400473058
0.0,92,1352536665,0.07543431863960545,1.0,1.0,236.93795804865658
0.0,93,555883440,0.07443567257230223,1.0,1.0,225.1616029534489
0.0,94,1801800003,0.0641110209950533,1.0,1.0,223.92443503485993
0.0,95,763315502,0.07005792222681588,1.0,1.0,241.38003401458263
0.0,96,138897982,0.06668563903201331,1.0,1.0,225.37421499146149
0.0,97,10785379,0.0639522759082742,1.0,1.0,218.76051899744198
0.0,98,53923185,0.0633327551855598,1.0,1.0,233.30829699989408
0.0,99,1349917978,0.06427597391562391,1.0,1.0,238.42824500752613
0.001,0,1501552845,0.07289593856675969,1.0,1.0,297.02594998525456
0.001,1,488200390,0.08157700168375931,0.0,0.0,171.5190929826349
0.001,2,1693606510,0.07601434125578664,1.0,1.0,172.32541198609397
0.001,3,680233354,0.08164280251685975,0.0,0.0,173.70024102274328
0.001,4,438466540,0.07740755012454809,1.0,1.0,174.9730470473878
0.001,5,1712329280,0.08200273651854947,0.0,0.0,172.10906697437167
0.001,6,1380152455,0.07872433400264497,1.0,1.0,174.96886500157416
0.001,7,1452245846,0.08196793077362699,0.0,0.0,174.91179099306464
0.001,8,2122694021,0.08495928101373439,0.0,0.0,175.12979201273993
0.001,9,839901363,0.08151749357197256,0.0,0.0,175.15177000313997
0.001,10,1802651552,0.07386017660565009,1.0,1.0,174.71174098318443
0.001,11,714712467,0.08124504494633779,0.0,0.0,175.73804402491078
0.001,12,1218704077,0.07335975773335002,1.0,1.0,175.5126949865371
0.001,13,1284858263,0.07661662222413348,1.0,1.0,174.49922300875187
0.001,14,457721135,0.07960131227428713,1.0,1.0,174.52231497736648
0.001,15,401008609,0.07650793478882506,1.0,1.0,173.7683400278911
0.001,16,492064534,0.07475798614126007,1.0,1.0,174.12520397920161
0.001,17,1444732602,0.0873370713850227,0.0,0.0,173.7906659836881
0.001,18,1317426686,0.06761903292262657,1.0,1.0,174.08994701690972
0.001,19,2022506251,0.08240865683507866,0.0,0.0,174.89289003424346
0.001,20,1516459118,0.07046456751669747,1.0,1.0,171.35719500947744
0.001,21,533103612,0.07424783102155437,1.0,1.0,175.17552903154865
0.001,22,1964759878,0.08330497427268867,0.0,0.0,174.3253049789928
0.001,23,2037706756,0.0772001177263726,1.0,1.0,174.96517102699727
0.001,24,1572889065,0.07332429066464526,1.0,1.0,175.28257495723665
0.001,25,1432881518,0.07964716973858858,1.0,1.0,174.35715498868376
0.001,26,280516901,0.07213292233166896,1.0,1.0,174.39215997001156
0.001,27,205939248,0.07709262810933429,1.0,1.0,173.37791598401964
0.001,28,571904914,0.07880827771554451,1.0,1.0,175.64632301218808
0.001,29,948843457,0.08045275183540107,0.0,0.0,175.41458300547674
0.001,30,155492488,0.0745284613561406,1.0,1.0,174.5103860157542
0.001,31,1903701130,0.06940012878441129,1.0,1.0,174.63601002236828
0.001,32,1017961266,0.07470266704004451,1.0,1.0,174.9511729576625
0.001,33,1497769985,0.08214826010509242,0.0,0.0,175.227437983267
0.001,34,456523489,0.07773966597160735,1.0,1.0,175.0060340273194
0.001,35,701095136,0.08657880490027647,0.0,0.0,174.72652602009475
0.001,36,249069576,0.07877855838223043,1.0,1.0,175.20398402120918
0.001,37,1576098728,0.07913118679748239,1.0,1.0,175.0545110553503
0.001,38,1662748500,0.0850956482893102,0.0,0.0,174.1442260099575
0.001,39,472736216,0.07898651118531089,1.0,1.0,83.1277510151267
0.001,40,1535411295,0.08014752815958848,0.0,0.0,83.23202095925808
0.001,41,175223003,0.08113193020952057,0.0,0.0,83.17247201921418
0.001,42,840936862,0.07634112575475012,1.0,1.0,83.19878805195913
0.001,43,343373188,0.08050997276790721,0.0,0.0,237.28487896732986
0.001,44,1597751082,0.07204464204905904,1.0,1.0,243.89520898694173
0.001,45,730359585,0.07567253971608001,1.0,1.0,221.02976200403646
0.001,46,1016641002,0.07991674787194965,1.0,1.0,228.08446100680158
0.001,47,998994690,0.07472581914548089,1.0,1.0,236.97647196240723
0.001,48,1021240743,0.07590663285981106,1.0,1.0,241.0650319652632
0.001,49,572134801,0.08047137065440053,0.0,0.0,242.1200120006688
0.001,50,1198399760,0.07669690591325427,1.0,1.0,233.36959799053147
0.001,51,1751866485,0.08174165991965925,0.0,0.0,242.12907697074115
0.001,52,1070889713,0.07919092487178153,1.0,1.0,241.79993895813823
0.001,53,415096539,0.07766667186345409,1.0,1.0,197.7748129866086
0.001,54,52416235,0.085077761732651,0.0,0.0,239.1592730418779
0.001,55,278032723,0.07941526415053793,1.0,1.0,240.3646659804508
0.001,56,174946158,0.07705337895970203,1.0,1.0,196.47312100278214
0.001,57,196848554,0.06807918470071408,1.0,1.0,240.35592301515862
0.001,58,263030910,0.07270114306689299,1.0,1.0,237.60735598625615
0.001,59,1285415020,0.08371475904749796,0.0,0.0,157.58169704349712
0.001,60,1733223444,0.07147690628280824,1.0,1.0,249.8193479841575
0.001,61,1835544261,0.08056532802915814,0.0,0.0,233.4873199579306
0.001,62,1403186970,0.08011592758739562,0.0,0.0,157.5486149522476
0.001,63,1291971777,0.07752517685588568,1.0,1.0,223.74401398701593
0.001,64,712292067,0.07918883090364863,1.0,1.0,243.22153598768637
0.001,65,2001429764,0.07432791300509742,1.0,1.0,197.73460400756449
0.001,66,1375664061,0.08019341605439918,0.0,0.0,241.788613027893
0.001,67,1556456120,0.0806852776609635,0.0,0.0,237.93999396730214
0.001,68,1576053187,0.0750355883858961,1.0,1.0,199.3462880491279
0.001,69,1848019881,0.08041543381549285,0.0,0.0,248.8707680022344
0.001,70,1508652585,0.07210008905504522,1.0,1.0,230.43881700141355
0.001,71,1995737731,0.08269819645175677,0.0,0.0,225.3873769659549
0.001,72,1162788447,0.07712636774071453,1.0,1.0,215.60811600647867
0.001,73,1172925522,0.07949693005476291,1.0,1.0,238.96515398519114
0.001,74,539174575,0.07742236050989389,1.0,1.0,220.04124004160985
0.001,75,2013637345,0.07336720597093914,1.0,1.0,157.7070250059478
0.001,76,1187468716,0.07369927000614439,1.0,1.0,243.8468339969404
0.001,77,1062978506,0.07966795633542305,1.0,1.0,240.16424000728875
0.001,78,679326770,0.0772756833096393,1.0,1.0,195.5990350106731
0.001,79,587923432,0.07582684940204741,1.0,1.0,226.08717699768022
0.001,80,1359889667,0.08742712201334557,0.0,0.0,238.0231450079009
0.001,81,970187386,0.07098552247012141,1.0,1.0,225.09972599800676
0.001,82,1219839873,0.07828821700850631,1.0,1.0,157.59113401873037
0.001,83,1428160212,0.07623699781932711,1.0,1.0,239.39266498200595
0.001,84,1930609499,0.08495878281829082,0.0,0.0,243.12644300516695
0.001,85,710582861,0.0749132785349555,1.0,1.0,198.17399798193946
0.001,86,1463614337,0.0761023377314394,1.0,1.0,236.95913498522714
