Algorithm,Run,RunMinDistance,SafetyViolation,Collision,TotalTrackingControlCost,TotalQSigmaInvStageCost,TotalQRStageCost,RunMaxComputeTimeMs
MPPI,85,-0.15933284163475037,1.0,1.0,6.32284789532423,6.32284789532423,6.32284789532423,18.423324916511774
MPPI,86,-0.14408573508262634,1.0,1.0,6.147125402349047,6.147125402349047,6.147125402349047,27.214634930714965
MPPI,87,-0.15052656829357147,1.0,1.0,6.276311678462662,6.276311678462662,6.276311678462662,20.809450885280967
MPPI,88,-0.21455013751983643,1.0,1.0,6.417828068952076,6.417828068952076,6.417828068952076,18.7192028388381
MPPI,89,-0.14290043711662292,1.0,1.0,6.139542781049386,6.139542781049386,6.139542781049386,19.879973959177732
MPPI,90,-0.14189529418945312,1.0,1.0,6.816801294917241,6.816801294917241,6.816801294917241,21.1791240144521
MPPI,91,-0.15372464060783386,1.0,1.0,6.200799660990015,6.200799660990015,6.200799660990015,34.47009320370853
MPPI,92,-0.14231756329536438,1.0,1.0,6.705861490103416,6.705861490103416,6.705861490103416,18.456828081980348
MPPI,93,-0.14614543318748474,1.0,1.0,6.21848993957974,6.21848993957974,6.21848993957974,34.322331892326474
MPPI,94,-0.26783546805381775,1.0,1.0,6.401717318804003,6.401717318804003,6.401717318804003,18.694495083764195
MPPI,95,-0.020123431459069252,1.0,1.0,5.898637077189051,5.898637077189051,5.898637077189051,20.89986391365528
MPPI,96,-0.30000001192092896,1.0,1.0,6.549466345226392,6.549466345226392,6.549466345226392,19.31314100511372
MPPI,97,-0.15341873466968536,1.0,1.0,6.2250943194376305,6.2250943194376305,6.2250943194376305,19.33323498815298
MPPI,98,-0.15491724014282227,1.0,1.0,6.5070488806813955,6.5070488806813955,6.5070488806813955,20.09149407967925
MPPI,99,-0.145695298910141,1.0,1.0,6.301652594003826,6.301652594003826,6.301652594003826,18.422622000798583
RAMPPI,0,0.0685952678322792,0.0,0.0,6.652735082898289,6.652735082898289,6.652735082898289,25.616744067519903
RAMPPI,1,0.00897078774869442,0.0,0.0,6.5923931553261355,6.5923931553261355,6.5923931553261355,19.11265798844397
RAMPPI,2,0.09663399308919907,0.0,0.0,6.580476907547563,6.580476907547563,6.580476907547563,19.142878940328956
RAMPPI,3,0.024098962545394897,0.0,0.0,6.660245128907263,6.660245128907263,6.660245128907263,19.471018109470606
RAMPPI,4,0.10340335220098495,0.0,0.0,6.694616689230315,6.694616689230315,6.694616689230315,18.558891024440527
RAMPPI,5,0.07601838558912277,0.0,0.0,6.715939292218536,6.715939292218536,6.715939292218536,19.038420170545578
RAMPPI,6,-0.14390040934085846,1.0,1.0,7.172082787728868,7.172082787728868,7.172082787728868,19.407325889915228
RAMPPI,7,-0.11053173243999481,1.0,1.0,7.170533993048593,7.170533993048593,7.170533993048593,29.456380056217313
RAMPPI,8,0.07077672332525253,0.0,0.0,6.498171545797959,6.498171545797959,6.498171545797959,19.265662180259824
RAMPPI,9,0.05911228060722351,0.0,0.0,6.781637773616239,6.781637773616239,6.781637773616239,19.149546045809984
RAMPPI,10,-0.11199571937322617,1.0,1.0,7.205511095933616,7.205511095933616,7.205511095933616,19.146602135151625
RAMPPI,11,0.10463336110115051,0.0,0.0,6.740163674112409,6.740163674112409,6.740163674112409,19.342451123520732
RAMPPI,12,0.07052285224199295,0.0,0.0,6.651321789599024,6.651321789599024,6.651321789599024,19.22639412805438
