Algorithm,Method,SourceFile,Run,Seed,SimSteps,Dt,ObsUpdateSteps,RunMinDistance,SafetyViolation,Collision,FirstCollisionStep,CollisionSteps,RunMaxComputeTimeMs,RunMeanComputeTimeMs,WallTimeS,TotalControlEffort,TotalFullCost,TerminalFullCost,TotalTrackingControlCost,TerminalTrackingCost,TotalQRStageCost,TotalQSigmaInvStageCost,MovingCollisionRadius,MovingSafeRadius,DroneRadius,DrEpsCvar,CvarAlpha,CvarN,RiskCostA,RiskCostCu,SigmaCp,Nmc,OmegaSoft,OmegaHard
MPPI,mppi,mppi_crazyflie.py,37,1743985090,520,0.02,15,0.05041355259938505,1.0,1.0,55,23,30.927768908441067,28.319620457030116,15.255637880880386,48.92583028253925,15075.715160907246,3.3636506117800185,1715.8585931823345,3.3636506117800185,1715.8585931823345,1715.8585931823345,0.08,0.08,0.04,,,,,,,,,
RAMPPI,ramppi,RA_mppi_crazyflie.py,37,449157016,520,0.02,15,0.07839946887928297,1.0,1.0,164,1,34.19529180973768,30.931326957831445,16.646294157020748,50.76653603981123,1391.878706544391,0.02312573442410544,1338.2339485561383,0.02312573442410544,1338.2339485561383,1338.2339485561383,0.08,0.08,0.04,,0.95,10.0,2000.0,,,,,
DRMPPI,drmppi,DR_mppi_crazyflie.py,37,1846620139,520,0.02,15,0.0946761731620425,0.0,0.0,-1,0,34.75471795536578,31.136634985719304,16.7382169009652,56.78683542962443,3594.843225142226,0.4060554271343072,1750.8120354250705,0.4060554271343072,1750.8120354250705,1750.8120354250705,0.08,0.08,0.04,0.0015,0.95,10.0,2000.0,,,,,
DRAMPPI,dramppi,DRA_mppi_crazyflie.py,37,1631813597,520,0.02,15,0.0640935168340012,1.0,1.0,472,7,35.59615113772452,32.20314532831813,17.291747653856874,59.11618307458298,7127.608488966166,0.6099952885542702,1385.3702249335765,0.6099952885542702,1385.3702249335765,1385.3702249335765,0.08,0.08,0.04,,,,,,0.05,10.0,3500.0,1000.0
MPPI,mppi,mppi_crazyflie.py,38,718941254,520,0.02,15,0.06250150853921693,1.0,1.0,54,17,31.410011928528547,28.76132113384441,15.470891343895346,47.84980503365441,14894.037675711941,3.4392663999612543,1756.1499699757949,3.4392663999612543,1756.1499699757949,1756.1499699757949,0.08,0.08,0.04,,,,,,,,,
RAMPPI,ramppi,RA_mppi_crazyflie.py,38,535282996,520,0.02,15,0.0825374409392221,0.0,0.0,-1,0,34.16132996790111,31.520312905866795,16.934549618978053,52.41890894831366,1392.3089773586898,0.06247154709426064,1301.190165994408,0.06247154709426064,1301.190165994408,1301.190165994408,0.08,0.08,0.04,,0.95,10.0,2000.0,,,,,
DRMPPI,drmppi,DR_mppi_crazyflie.py,38,739473027,520,0.02,15,0.09249191759608204,0.0,0.0,-1,0,34.636554075405,31.34978719933245,16.849978619953617,56.02329696305722,3815.170406547251,0.12864288449286942,1807.2346401369314,0.12864288449286942,1807.2346401369314,1807.2346401369314,0.08,0.08,0.04,0.0015,0.95,10.0,2000.0,,,,,
DRAMPPI,dramppi,DRA_mppi_crazyflie.py,38,183763894,520,0.02,15,0.07247663862126667,1.0,1.0,50,15,35.44380306266248,32.1225142334767,17.251104370923713,54.636227562096344,15461.655898272666,0.31554431914300934,1123.3423421712519,0.31554431914300934,1123.3423421712519,1123.3423421712519,0.08,0.08,0.04,,,,,,0.05,10.0,3500.0,1000.0
MPPI,mppi,mppi_crazyflie.py,39,921601425,520,0.02,15,0.0528361153936442,1.0,1.0,54,20,31.40200092457235,28.85434921302546,15.520253086928278,48.23597257720434,14964.089466466383,3.8459916042012883,1725.9906414708323,3.8459916042012883,1725.9906414708323,1725.9906414708323,0.08,0.08,0.04,,,,,,,,,
RAMPPI,ramppi,RA_mppi_crazyflie.py,39,1327266703,520,0.02,15,0.08620010415664067,0.0,0.0,-1,0,34.547789953649044,31.656823472048227,17.006779114948586,51.22175523872839,1350.1576849957203,0.22020119051767084,1297.1408900174595,0.22020119051767084,1297.1408900174595,1297.1408900174595,0.08,0.08,0.04,,0.95,10.0,2000.0,,,,,
DRMPPI,drmppi,DR_mppi_crazyflie.py,39,1656962606,520,0.02,15,0.09053975382827041,0.0,0.0,-1,0,34.73067912273109,32.14490574811442,17.260602061171085,55.27220516257795,3588.579266014036,0.15009934352971493,1695.7431616892104,0.15009934352971493,1695.7431616892104,1695.7431616892104,0.08,0.08,0.04,0.0015,0.95,10.0,2000.0,,,,,
DRAMPPI,dramppi,DRA_mppi_crazyflie.py,39,1153130709,520,0.02,15,0.06522933580444513,1.0,1.0,473,7,35.24613496847451,32.284175532046135,17.334950344869867,56.39642725966748,3860.992225203238,0.14395844534143432,1195.022002675372,0.14395844534143432,1195.022002675372,1195.022002675372,0.08,0.08,0.04,,,,,,0.05,10.0,3500.0,1000.0
MPPI,mppi,mppi_crazyflie.py,40,232026619,520,0.02,15,0.046954729524995305,1.0,1.0,54,18,32.05769485794008,29.603566650229578,15.909016332123429,47.91281365595839,14988.06336158626,3.56181615672989,1747.7381058965489,3.56181615672989,1747.7381058965489,1747.7381058965489,0.08,0.08,0.04,,,,,,,,,
RAMPPI,ramppi,RA_mppi_crazyflie.py,40,1362635735,520,0.02,15,0.07892729266594445,1.0,1.0,391,2,34.56101403571665,32.04611930906629,17.21064931107685,50.894581475862765,1489.8245342561067,0.16590302056009237,1292.2543808819116,0.16590302056009237,1292.2543808819116,1292.2543808819116,0.08,0.08,0.04,,0.95,10.0,2000.0,,,,,
DRMPPI,drmppi,DR_mppi_crazyflie.py,40,211875280,520,0.02,15,0.09906332766487427,0.0,0.0,-1,0,35.09861812926829,32.49418550403789,17.44368456606753,55.57543649184817,3593.3440655072886,0.3689880577817033,1780.2305814858385,0.3689880577817033,1780.2305814858385,1780.2305814858385,0.08,0.08,0.04,0.0015,0.95,10.0,2000.0,,,,,
DRAMPPI,dramppi,DRA_mppi_crazyflie.py,40,374465546,520,0.02,15,0.06890318755232598,1.0,1.0,389,12,35.092930076643825,32.6264532471004,17.513957747956738,57.2189802244542,17655.07912228239,0.5601551979426626,1324.5089431251813,0.5601551979426626,1324.5089431251813,1324.5089431251813,0.08,0.08,0.04,,,,,,0.05,10.0,3500.0,1000.0
MPPI,mppi,mppi_crazyflie.py,41,2065851859,520,0.02,15,0.052622174407178764,1.0,1.0,54,19,31.878469977527857,29.20147622666823,15.699340261053294,48.34326800791647,14832.09384787874,3.4223508262765026,1754.9348377857477,3.4223508262765026,1754.9348377857477,1754.9348377857477,0.08,0.08,0.04,,,,,,,,,
RAMPPI,ramppi,RA_mppi_crazyflie.py,41,532929183,520,0.02,15,0.06846401697002,1.0,1.0,388,10,34.61330593563616,31.947910760153228,17.15903472295031,51.86873384516072,2134.3708944177433,0.1322808240555391,1246.9922608906859,0.1322808240555391,1246.9922608906859,1246.9922608906859,0.08,0.08,0.04,,0.95,10.0,2000.0,,,,,
DRMPPI,drmppi,DR_mppi_crazyflie.py,41,1235511627,520,0.02,15,0.0893414986579252,0.0,0.0,-1,0,34.999721916392446,32.12151385825844,17.249661409063265,54.88891018271853,4249.232093721206,0.06176581636293151,1654.777222311697,0.06176581636293151,1654.777222311697,1654.777222311697,0.08,0.08,0.04,0.0015,0.95,10.0,2000.0,,,,,
DRAMPPI,dramppi,DRA_mppi_crazyflie.py,41,1470646160,520,0.02,15,0.06581553086337626,1.0,1.0,156,14,35.067749908193946,32.489122119015796,17.442508404143155,58.47181748915768,12827.267064703703,0.1072432124550685,1168.683653823286,0.1072432124550685,1168.683653823286,1168.683653823286,0.08,0.08,0.04,,,,,,0.05,10.0,3500.0,1000.0
MPPI,mppi,mppi_crazyflie.py,42,1763790482,520,0.02,15,0.05746538008296925,1.0,1.0,162,14,31.862503848969936,29.33649419842718,15.772837164113298,48.87770518996113,15248.637140859784,3.5555244035630515,1776.604809007554,3.5555244035630515,1776.604809007554,1776.604809007554,0.08,0.08,0.04,,,,,,,,,
RAMPPI,ramppi,RA_mppi_crazyflie.py,42,173670537,520,0.02,15,0.08472902636837626,0.0,0.0,-1,0,34.73333898000419,32.10711662093392,17.243883898016065,53.51288642220901,1730.7708964618196,0.40242181580939845,1343.6931135162308,0.40242181580939845,1343.6931135162308,1343.6931135162308,0.08,0.08,0.04,,0.95,10.0,2000.0,,,,,
DRMPPI,drmppi,DR_mppi_crazyflie.py,42,1805008944,520,0.02,15,0.09873673095249248,0.0,0.0,-1,0,35.118850879371166,32.32584887972245,17.356916519114748,57.375663056079176,2930.409277073071,0.056079987211537674,1850.4539009424705,0.056079987211537674,1850.4539009424705,1850.4539009424705,0.08,0.08,0.04,0.0015,0.95,10.0,2000.0,,,,,
DRAMPPI,dramppi,DRA_mppi_crazyflie.py,42,1879206247,520,0.02,15,0.06951305262905304,1.0,1.0,155,14,35.27040779590607,32.63422803048832,17.515978997107595,58.301059844864454,13673.138636165055,0.12088832543573878,1127.9965581497072,0.12088832543573878,1127.9965581497072,1127.9965581497072,0.08,0.08,0.04,,,,,,0.05,10.0,3500.0,1000.0
MPPI,mppi,mppi_crazyflie.py,43,1488659697,520,0.02,15,0.058439111312489814,1.0,1.0,55,13,31.761521939188242,29.352411126735834,15.780847584828734,48.385427713233774,15051.763231970097,3.542879488722425,1855.6172161541149,3.542879488722425,1855.6172161541149,1855.6172161541149,0.08,0.08,0.04,,,,,,,,,
RAMPPI,ramppi,RA_mppi_crazyflie.py,43,920614173,520,0.02,15,0.08345558079552164,0.0,0.0,-1,0,34.1614531353116,31.618231641970432,16.98891493002884,51.224979957636904,1430.6957867752121,0.034125600756737914,1405.0492092637887,0.034125600756737914,1405.0492092637887,1405.0492092637887,0.08,0.08,0.04,,0.95,10.0,2000.0,,,,,
DRMPPI,drmppi,DR_mppi_crazyflie.py,43,575464499,520,0.02,15,0.08927431062950189,0.0,0.0,-1,0,34.741783048957586,32.20458646537736,17.292873218189925,55.16090280850925,3396.6553149994957,1.3285586721991773,1856.595377833535,1.3285586721991773,1856.595377833535,1856.595377833535,0.08,0.08,0.04,0.0015,0.95,10.0,2000.0,,,,,
DRAMPPI,dramppi,DRA_mppi_crazyflie.py,43,1327991421,520,0.02,15,0.07705337330792679,1.0,1.0,157,7,34.72296101972461,32.1111385907548,17.245224004844204,56.542547367022735,11430.210628812165,0.06558332427844842,1173.7846012246566,0.06558332427844842,1173.7846012246566,1173.7846012246566,0.08,0.08,0.04,,,,,,0.05,10.0,3500.0,1000.0
MPPI,mppi,mppi_crazyflie.py,44,1444571963,520,0.02,15,0.046183237483481264,1.0,1.0,53,20,31.52903006412089,29.085087788273366,15.640132423955947,48.434970974939546,14888.084645362973,3.8901272707642183,1781.5743047055032,3.8901272707642183,1781.5743047055032,1781.5743047055032,0.08,0.08,0.04,,,,,,,,,
RAMPPI,ramppi,RA_mppi_crazyflie.py,44,672388949,520,0.02,15,0.07816845563927634,1.0,1.0,390,2,34.46720517240465,31.54386609407643,16.95788549608551,52.59041434935603,1569.4151324566892,0.0252059968821296,1373.153110339845,0.0252059968821296,1373.153110339845,1373.153110339845,0.08,0.08,0.04,,0.95,10.0,2000.0,,,,,
DRMPPI,drmppi,DR_mppi_crazyflie.py,44,1463826282,520,0.02,15,0.09370103945886363,0.0,0.0,-1,0,34.768653800711036,32.111178672102355,17.245970929041505,54.76165476422029,3564.618712965245,0.22092685634140422,1564.3605322625092,0.22092685634140422,1564.3605322625092,1564.3605322625092,0.08,0.08,0.04,0.0015,0.95,10.0,2000.0,,,,,
DRAMPPI,dramppi,DRA_mppi_crazyflie.py,44,384319804,520,0.02,15,0.07424732530717046,1.0,1.0,153,6,34.95823196135461,32.195010292343795,17.288212463026866,55.91960857783074,15873.673989305402,0.15556895432487397,1281.9962669936094,0.15556895432487397,1281.9962669936094,1281.9962669936094,0.08,0.08,0.04,,,,,,0.05,10.0,3500.0,1000.0
MPPI,mppi,mppi_crazyflie.py,45,549845687,520,0.02,15,0.055517670216577684,1.0,1.0,54,18,32.03688794746995,29.46956457498555,15.84003826789558,48.20066071006929,14878.789528915886,3.7602219363881644,1735.0908454206367,3.7602219363881644,1735.0908454206367,1735.0908454206367,0.08,0.08,0.04,,,,,,,,,
RAMPPI,ramppi,RA_mppi_crazyflie.py,45,20856635,520,0.02,15,0.07106416504114438,1.0,1.0,48,6,35.086949123069644,32.06891247402662,17.219996138010174,52.21534222898237,1282.0759474692861,0.10604874765908387,1231.6205973642543,0.10604874765908387,1231.6205973642543,1231.6205973642543,0.08,0.08,0.04,,0.95,10.0,2000.0,,,,,
DRMPPI,drmppi,DR_mppi_crazyflie.py,45,625331721,520,0.02,15,0.09270473503314691,0.0,0.0,-1,0,35.133301047608256,32.48168640286447,17.437379630981013,53.131373620711386,2862.6383645270516,0.02480862553406189,1573.3384188286025,0.02480862553406189,1573.3384188286025,1573.3384188286025,0.08,0.08,0.04,0.0015,0.95,10.0,2000.0,,,,,
DRAMPPI,dramppi,DRA_mppi_crazyflie.py,45,451063818,520,0.02,15,0.05018707149772869,1.0,1.0,51,25,36.73586389049888,33.29976646480365,17.866854837862775,58.944911364483445,3728.4325171392843,0.7642489709257657,1229.4957647041824,0.7642489709257657,1229.4957647041824,1229.4957647041824,0.08,0.08,0.04,,,,,,0.05,10.0,3500.0,1000.0
MPPI,mppi,mppi_crazyflie.py,46,1765333524,520,0.02,15,0.054511641847822354,1.0,1.0,55,17,33.02828315645456,30.282426548924725,16.265536271966994,48.375903538637075,14941.110677898085,3.1390704299437453,1729.1813398245545,3.1390704299437453,1729.1813398245545,1729.1813398245545,0.08,0.08,0.04,,,,,,,,,
RAMPPI,ramppi,RA_mppi_crazyflie.py,46,1868312230,520,0.02,15,0.07906240910128605,1.0,1.0,163,1,36.30383894778788,32.410192928867986,17.408000682946295,51.01655520988166,1571.365186835481,0.04264656848544554,1270.2388067187676,0.04264656848544554,1270.2388067187676,1270.2388067187676,0.08,0.08,0.04,,0.95,10.0,2000.0,,,,,
DRMPPI,drmppi,DR_mppi_crazyflie.py,46,1871869742,520,0.02,15,0.0849663615877222,0.0,0.0,-1,0,37.71811514161527,33.47159880840291,17.96257725614123,54.43873996136834,4352.865682841233,0.063577653394391,1728.3914571709086,0.063577653394391,1728.3914571709086,1728.3914571709086,0.08,0.08,0.04,0.0015,0.95,10.0,2000.0,,,,,
DRAMPPI,dramppi,DRA_mppi_crazyflie.py,46,2089136091,520,0.02,15,0.07568717258986589,1.0,1.0,50,4,37.84583299420774,33.788148508532544,18.125900079030544,56.935869086799464,6037.684867221998,0.5096702216351516,1197.407659399401,0.5096702216351516,1197.407659399401,1197.407659399401,0.08,0.08,0.04,,,,,,0.05,10.0,3500.0,1000.0
MPPI,mppi,mppi_crazyflie.py,47,1350752517,520,0.02,15,0.054211405974667046,1.0,1.0,55,24,32.69161586649716,29.867588023010356,16.052845197031274,48.09200476222148,15085.65608232652,3.52849626927105,1672.8614466914778,3.52849626927105,1672.8614466914778,1672.8614466914778,0.08,0.08,0.04,,,,,,,,,
RAMPPI,ramppi,RA_mppi_crazyflie.py,47,948741832,520,0.02,15,0.07924222551291774,1.0,1.0,51,2,35.96521192230284,31.951753954546383,17.163342053070664,51.200145486030465,1622.4760558308212,0.10868681659656203,1280.1319537616419,0.10868681659656203,1280.1319537616419,1280.1319537616419,0.08,0.08,0.04,,0.95,10.0,2000.0,,,,,
DRMPPI,drmppi,DR_mppi_crazyflie.py,47,1250404833,520,0.02,15,0.08701548016496743,0.0,0.0,-1,0,34.61998398415744,30.56440737608892,16.44407725497149,56.10658168985121,3686.361127993967,0.35624478274737276,1681.0005211716668,0.35624478274737276,1681.0005211716668,1681.0005211716668,0.08,0.08,0.04,0.0015,0.95,10.0,2000.0,,,,,
DRAMPPI,dramppi,DRA_mppi_crazyflie.py,47,813358346,520,0.02,15,0.06784821867492784,1.0,1.0,50,13,34.12010404281318,30.331168515392793,16.32462688907981,59.79255944100734,8737.504533892428,0.3066794895646774,1248.9704252687236,0.3066794895646774,1248.9704252687236,1248.9704252687236,0.08,0.08,0.04,,,,,,0.05,10.0,3500.0,1000.0
MPPI,mppi,mppi_crazyflie.py,48,1016531149,520,0.02,15,0.05670602176205934,1.0,1.0,54,23,32.372728921473026,29.387782196191928,15.798910780111328,49.007144768882654,15016.884198831141,3.6359185250138313,1761.4216177220285,3.6359185250138313,1761.4216177220285,1761.4216177220285,0.08,0.08,0.04,,,,,,,,,
RAMPPI,ramppi,RA_mppi_crazyflie.py,48,592591844,520,0.02,15,0.09164969205205746,0.0,0.0,-1,0,35.24331119842827,30.33110521366605,16.32298609195277,51.22446839248303,1575.2228540508154,0.07522220721368196,1433.3329195536571,0.07522220721368196,1433.3329195536571,1433.3329195536571,0.08,0.08,0.04,,0.95,10.0,2000.0,,,,,
DRMPPI,drmppi,DR_mppi_crazyflie.py,48,1488505754,520,0.02,15,0.09429551635475189,0.0,0.0,-1,0,32.529055839404464,28.34249971022543,15.291731829056516,56.049111137157354,3565.7083695189244,0.9519650270416958,1733.887464537097,0.9519650270416958,1733.887464537097,1733.887464537097,0.08,0.08,0.04,0.0015,0.95,10.0,2000.0,,,,,
DRAMPPI,dramppi,DRA_mppi_crazyflie.py,48,2074692775,520,0.02,15,0.06164672426575776,1.0,1.0,49,11,35.04128195345402,31.645678395691974,17.00213444698602,55.505988383939545,5954.100818161861,0.5180139390683928,1249.633294239167,0.5180139390683928,1249.633294239167,1249.633294239167,0.08,0.08,0.04,,,,,,0.05,10.0,3500.0,1000.0
MPPI,mppi,mppi_crazyflie.py,49,341015522,520,0.02,15,0.05909668148740006,1.0,1.0,54,14,31.536882976070046,29.232303030305328,15.716794270090759,47.919604308300386,14995.134224953894,3.8515702898334983,1737.0535064270578,3.8515702898334983,1737.0535064270578,1737.0535064270578,0.08,0.08,0.04,,,,,,,,,
RAMPPI,ramppi,RA_mppi_crazyflie.py,49,124989142,520,0.02,15,0.08263007664191782,0.0,0.0,-1,0,34.329136833548546,31.305818937163657,16.82379360916093,50.721326577856836,1569.0349476622034,0.06713151198373302,1279.306373673356,0.06713151198373302,1279.306373673356,1279.306373673356,0.08,0.08,0.04,,0.95,10.0,2000.0,,,,,
DRMPPI,drmppi,DR_mppi_crazyflie.py,49,812260400,520,0.02,15,0.09729525306621423,0.0,0.0,-1,0,34.377813106402755,31.795009101579826,17.077817820943892,56.10768410726823,3244.5685617861673,0.022401762735304896,1818.9897024867043,0.022401762735304896,1818.9897024867043,1818.9897024867043,0.08,0.08,0.04,0.0015,0.95,10.0,2000.0,,,,,
DRAMPPI,dramppi,DRA_mppi_crazyflie.py,49,877749363,520,0.02,15,0.06600628939596086,1.0,1.0,263,8,34.578640945255756,31.63266067411034,16.996254622004926,55.832292823072045,4225.136670383597,0.23668986784250431,1164.851467130352,0.23668986784250431,1164.851467130352,1164.851467130352,0.08,0.08,0.04,,,,,,0.05,10.0,3500.0,1000.0
MPPI,mppi,mppi_crazyflie.py,50,885012874,520,0.02,15,0.05515259715187063,1.0,1.0,54,16,31.223553000018,28.91626888124917,15.54893977404572,47.99391761967113,15099.174261851947,3.4302146643060034,1771.8030911363169,3.4302146643060034,1771.8030911363169,1771.8030911363169,0.08,0.08,0.04,,,,,,,,,
RAMPPI,ramppi,RA_mppi_crazyflie.py,50,362127685,520,0.02,15,0.08184717926907656,0.0,0.0,-1,0,34.18001811951399,31.316762780233358,16.829255607211962,50.69444775470544,1436.104716441259,0.009804902538706143,1357.1944533316614,0.009804902538706143,1357.1944533316614,1357.1944533316614,0.08,0.08,0.04,,0.95,10.0,2000.0,,,,,
DRMPPI,drmppi,DR_mppi_crazyflie.py,50,352109286,520,0.02,15,0.08720567083616455,0.0,0.0,-1,0,34.30898883379996,31.562940234569115,16.957757392898202,56.75316097465532,3605.4565031790353,0.18394802036284538,1718.6598869467152,0.18394802036284538,1718.6598869467152,1718.6598869467152,0.08,0.08,0.04,0.0015,0.95,10.0,2000.0,,,,,
DRAMPPI,dramppi,DRA_mppi_crazyflie.py,50,515705438,520,0.02,15,0.06636702627919343,1.0,1.0,262,17,35.76979204080999,32.13499796379787,17.25581977982074,56.19314582218632,21443.353759751313,0.12548503182990028,1053.1497684421754,0.12548503182990028,1053.1497684421754,1053.1497684421754,0.08,0.08,0.04,,,,,,0.05,10.0,3500.0,1000.0
MPPI,mppi,mppi_crazyflie.py,51,1242333319,520,0.02,15,0.061993248335838996,1.0,1.0,54,23,31.623829156160355,29.08918935348853,15.640897118020803,48.81519100689998,15086.271509877031,3.480999661388472,1714.9834715411307,3.480999661388472,1714.9834715411307,1714.9834715411307,0.08,0.08,0.04,,,,,,,,,
RAMPPI,ramppi,RA_mppi_crazyflie.py,51,1675054115,520,0.02,15,0.08189207129829859,0.0,0.0,-1,0,34.40819401293993,31.61049526802694,16.98184237885289,53.43947986625959,1359.049877027285,0.08774068452814686,1329.6126759007432,0.08774068452814686,1329.6126759007432,1329.6126759007432,0.08,0.08,0.04,,0.95,10.0,2000.0,,,,,
DRMPPI,drmppi,DR_mppi_crazyflie.py,51,1015525194,520,0.02,15,0.09611339063502154,0.0,0.0,-1,0,37.66151191666722,31.786728396008794,17.07506254198961,57.69359151900378,2573.4309263270343,0.1198614764148467,1914.459363237176,0.1198614764148467,1914.459363237176,1914.459363237176,0.08,0.08,0.04,0.0015,0.95,10.0,2000.0,,,,,
DRAMPPI,dramppi,DRA_mppi_crazyflie.py,51,437587580,520,0.02,15,0.06125107053291283,1.0,1.0,50,13,37.427016999572515,32.29200756490732,17.340102000860497,56.891446654476795,5973.446862112029,1.0544322159937733,1206.0262170629128,1.0544322159937733,1206.0262170629128,1206.0262170629128,0.08,0.08,0.04,,,,,,0.05,10.0,3500.0,1000.0
MPPI,mppi,mppi_crazyflie.py,52,916418952,520,0.02,15,0.06084125962149637,1.0,1.0,53,17,31.925091985613108,29.17188213368018,15.686430737143382,48.39444571974525,15047.736198650173,3.4382036784434407,1812.4769144482295,3.4382036784434407,1812.4769144482295,1812.4769144482295,0.08,0.08,0.04,,,,,,,,,
RAMPPI,ramppi,RA_mppi_crazyflie.py,52,1185520397,520,0.02,15,0.07963723119844145,1.0,1.0,391,2,34.508387790992856,31.669984498652273,17.01614941097796,51.54283506310782,2196.2283744444508,0.036871176273192516,1374.2965949654488,0.036871176273192516,1374.2965949654488,1374.2965949654488,0.08,0.08,0.04,,0.95,10.0,2000.0,,,,,
DRMPPI,drmppi,DR_mppi_crazyflie.py,52,2008950748,520,0.02,15,0.09513702950519418,0.0,0.0,-1,0,34.81863415800035,31.969563907478005,17.169636616948992,56.31608069717612,3502.0333137232424,0.01654114692099719,1682.702154912968,0.01654114692099719,1682.702154912968,1682.702154912968,0.08,0.08,0.04,0.0015,0.95,10.0,2000.0,,,,,
DRAMPPI,dramppi,DRA_mppi_crazyflie.py,52,788113918,520,0.02,15,0.06715090865236412,1.0,1.0,49,9,34.95398792438209,31.995729661475007,17.184592874953523,58.19553544317809,8415.827404009824,0.038683601520676174,1101.4640714518102,0.038683601520676174,1101.4640714518102,1101.4640714518102,0.08,0.08,0.04,,,,,,0.05,10.0,3500.0,1000.0
MPPI,mppi,mppi_crazyflie.py,53,512725733,520,0.02,15,0.056922723489312856,1.0,1.0,53,23,31.539767049252987,29.22093873225654,15.70925560197793,48.26443414657814,15232.74766993058,3.495155843129443,1695.7651060621363,3.495155843129443,1695.7651060621363,1695.7651060621363,0.08,0.08,0.04,,,,,,,,,
RAMPPI,ramppi,RA_mppi_crazyflie.py,53,1089379200,520,0.02,15,0.07720717310643828,1.0,1.0,389,3,34.81886186636984,32.27352224594842,17.325841360958293,51.32851652725937,1540.828661157944,0.03094625541760672,1352.7869355134287,0.03094625541760672,1352.7869355134287,1352.7869355134287,0.08,0.08,0.04,,0.95,10.0,2000.0,,,,,
DRMPPI,drmppi,DR_mppi_crazyflie.py,53,130662949,520,0.02,15,0.09687171833412259,0.0,0.0,-1,0,35.32802895642817,31.757270502231012,17.059534849133343,58.05301145212217,2990.394622127539,0.1472337600189235,1676.3874704169104,0.1472337600189235,1676.3874704169104,1676.3874704169104,0.08,0.08,0.04,0.0015,0.95,10.0,2000.0,,,,,
DRAMPPI,dramppi,DRA_mppi_crazyflie.py,53,716052215,520,0.02,15,0.0642892892983152,1.0,1.0,49,21,35.71917884983122,32.83812579645131,17.620392536977306,56.46143377443359,22650.359547894463,0.427917891852907,1114.1473937182839,0.427917891852907,1114.1473937182839,1114.1473937182839,0.08,0.08,0.04,,,,,,0.05,10.0,3500.0,1000.0
MPPI,mppi,mppi_crazyflie.py,54,351559949,520,0.02,15,0.05333021470861345,1.0,1.0,53,25,31.882038107141852,29.27295922821101,15.738564958097413,48.853637622197596,15125.139976225459,3.712718762341512,1754.8170753126512,3.712718762341512,1754.8170753126512,1754.8170753126512,0.08,0.08,0.04,,,,,,,,,
RAMPPI,ramppi,RA_mppi_crazyflie.py,54,607140171,520,0.02,15,0.08350061538784558,0.0,0.0,-1,0,34.69678899273276,32.07370955720902,17.221691159997135,51.06558478117984,1619.1258018789183,0.0907115925846104,1380.1782093637291,0.0907115925846104,1380.1782093637291,1380.1782093637291,0.08,0.08,0.04,,0.95,10.0,2000.0,,,,,
DRMPPI,drmppi,DR_mppi_crazyflie.py,54,274213066,520,0.02,15,0.09517378680807945,0.0,0.0,-1,0,34.691808046773076,32.049667864787175,17.209644738119096,56.30850544426873,3393.2685466059784,0.19896895901357176,1643.288871751728,0.19896895901357176,1643.288871751728,1643.288871751728,0.08,0.08,0.04,0.0015,0.95,10.0,2000.0,,,,,
DRAMPPI,dramppi,DRA_mppi_crazyflie.py,54,605225963,520,0.02,15,0.07373733346643849,1.0,1.0,263,12,35.35750019364059,32.407019088994,17.397137508029118,58.10533003844627,8884.232455832542,0.7736185062317796,1222.2296371916432,0.7736185062317796,1222.2296371916432,1222.2296371916432,0.08,0.08,0.04,,,,,,0.05,10.0,3500.0,1000.0
MPPI,mppi,mppi_crazyflie.py,55,754096503,520,0.02,15,0.05223625100641147,1.0,1.0,54,20,31.804696191102266,29.295702282643806,15.74953015614301,48.21614262275331,15072.636866986122,3.531062056197778,1756.3219880737424,3.531062056197778,1756.3219880737424,1756.3219880737424,0.08,0.08,0.04,,,,,,,,,
RAMPPI,ramppi,RA_mppi_crazyflie.py,55,183354928,520,0.02,15,0.08082572860235793,0.0,0.0,-1,0,34.58086401224136,31.967261602851348,17.16596597689204,52.08316852198952,1713.574493783369,0.11417894892364173,1394.095464905864,0.11417894892364173,1394.095464905864,1394.095464905864,0.08,0.08,0.04,,0.95,10.0,2000.0,,,,,
DRMPPI,drmppi,DR_mppi_crazyflie.py,55,739260265,520,0.02,15,0.0850375431350684,0.0,0.0,-1,0,35.08911305107176,32.243699096411895,17.312687997007743,55.56999563607568,2919.979903124578,1.3750172202371247,1865.4487553835054,1.3750172202371247,1865.4487553835054,1865.4487553835054,0.08,0.08,0.04,0.0015,0.95,10.0,2000.0,,,,,
DRAMPPI,dramppi,DRA_mppi_crazyflie.py,55,1034686946,520,0.02,15,0.06442598723674439,1.0,1.0,49,12,35.112184938043356,32.90081123212496,17.655589658999816,64.88993640550721,9241.233584924126,0.8310587392343315,1269.0517078449375,0.8310587392343315,1269.0517078449375,1269.0517078449375,0.08,0.08,0.04,,,,,,0.05,10.0,3500.0,1000.0
MPPI,mppi,mppi_crazyflie.py,56,201839291,520,0.02,15,0.05162450092634787,1.0,1.0,55,18,32.07515086978674,29.530704176375785,15.871231212979183,48.57972977439143,15097.147599500468,3.5070832649451806,1765.5165068654462,3.5070832649451806,1765.5165068654462,1765.5165068654462,0.08,0.08,0.04,,,,,,,,,
