Algorithm,Method,SourceFile,Run,Seed,SimSteps,Dt,ObsUpdateSteps,RunMinDistance,SafetyViolation,Collision,FirstCollisionStep,CollisionSteps,RunMaxComputeTimeMs,RunMeanComputeTimeMs,WallTimeS,TotalControlEffort,TotalFullCost,TerminalFullCost,TotalTrackingControlCost,TerminalTrackingCost,TotalQRStageCost,TotalQSigmaInvStageCost,MovingCollisionRadius,MovingSafeRadius,DroneRadius,DrEpsCvar,CvarAlpha,CvarN,RiskCostA,RiskCostCu,SigmaCp,Nmc,OmegaSoft,OmegaHard
RAMPPI,ramppi,RA_mppi_crazyflie.py,15,1835544261,520,0.02,15,0.07643855437643263,1.0,1.0,390,4,34.44201219826937,30.65813391093308,16.53053658409044,52.44347261880222,1650.4695715776004,0.013886506439199423,1376.3643781302524,0.013886506439199423,1376.3643781302524,1376.3643781302524,0.08,0.08,0.04,,0.95,10.0,2000.0,,,,,
DRMPPI,drmppi,DR_mppi_crazyflie.py,15,1403186970,520,0.02,15,0.08623151650303024,0.0,0.0,-1,0,34.55676999874413,31.45539960018001,16.93110400484875,55.52177184788745,3180.1951498209055,0.3016796987362202,1660.5353540655506,0.3016796987362202,1660.5353540655506,1660.5353540655506,0.08,0.08,0.04,0.0015,0.95,10.0,2000.0,,,,,
DRAMPPI,dramppi,DRA_mppi_crazyflie.py,15,1291971777,520,0.02,15,0.0603567996711529,1.0,1.0,49,21,35.20578797906637,31.692678140601718,17.051065911073238,56.52492081015454,22000.32068519973,0.6902334628889111,1209.9830273167015,0.6902334628889111,1209.9830273167015,1209.9830273167015,0.08,0.08,0.04,,,,,,0.05,10.0,3500.0,1000.0
MPPI,mppi,mppi_crazyflie.py,16,712292067,520,0.02,15,0.04937073807592621,1.0,1.0,53,21,30.999887036159635,28.070953238056973,15.135492179077119,48.563575875605544,15113.82043859318,3.8203374888053276,1708.4026213991478,3.8203374888053276,1708.4026213991478,1708.4026213991478,0.08,0.08,0.04,,,,,,,,,
RAMPPI,ramppi,RA_mppi_crazyflie.py,16,2001429764,520,0.02,15,0.08700882808245052,0.0,0.0,-1,0,34.57578201778233,31.122020003833594,16.75616300990805,54.17768272757774,1539.3003796502344,0.01753477289674512,1429.896911348947,0.01753477289674512,1429.896911348947,1429.896911348947,0.08,0.08,0.04,,0.95,10.0,2000.0,,,,,
DRMPPI,drmppi,DR_mppi_crazyflie.py,16,1375664061,520,0.02,15,0.1032259299607265,0.0,0.0,-1,0,34.39595992676914,31.496650291284404,16.944719317136332,55.12944273828687,4533.556245835429,0.18097584656874952,1841.8914477092849,0.18097584656874952,1841.8914477092849,1841.8914477092849,0.08,0.08,0.04,0.0015,0.95,10.0,2000.0,,,,,
DRAMPPI,dramppi,DRA_mppi_crazyflie.py,16,1556456120,520,0.02,15,0.0652283182520532,1.0,1.0,50,6,34.79837905615568,30.545399560539337,16.476743140025064,56.782359607900986,4414.915033956039,0.8429195050564436,1371.119532787093,0.8429195050564436,1371.119532787093,1371.119532787093,0.08,0.08,0.04,,,,,,0.05,10.0,3500.0,1000.0
MPPI,mppi,mppi_crazyflie.py,17,1576053187,520,0.02,15,0.051177960145522006,1.0,1.0,56,21,34.58049590699375,27.0430334964588,14.625234247883782,49.31893767114548,14929.093579640416,3.7857672283320087,1801.5446192189595,3.7857672283320087,1801.5446192189595,1801.5446192189595,0.08,0.08,0.04,,,,,,,,,
RAMPPI,ramppi,RA_mppi_crazyflie.py,17,1848019881,520,0.02,15,0.08065661170052174,0.0,0.0,-1,0,34.15120695717633,31.19449371901842,16.80393202509731,53.14197820540258,1610.4732265080945,0.7824928855400948,1335.1087438054358,0.7824928855400948,1335.1087438054358,1335.1087438054358,0.08,0.08,0.04,,0.95,10.0,2000.0,,,,,
DRMPPI,drmppi,DR_mppi_crazyflie.py,17,1508652585,520,0.02,15,0.09016898713269804,0.0,0.0,-1,0,35.14931001700461,31.44641746274339,16.92602419294417,56.29865651653193,3120.7597466200123,0.03865085795507336,1633.0812462336266,0.03865085795507336,1633.0812462336266,1633.0812462336266,0.08,0.08,0.04,0.0015,0.95,10.0,2000.0,,,,,
